平成25年度新幹線鉄道騒音・振動定期監視結果（平成25年12月16日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076561.html
平成26年度一般環境騒音実態監視結果（平成27年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076360.html
平成26年度航空機騒音定期監視結果（平成27年6月16日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076763.html
平成26年度自動車騒音定期監視結果（平成27年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076368.html
平成26年度新幹線鉄道騒音・振動定期監視結果等について（平成27年2月10日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076574.html
平成27・28年度新幹線鉄道騒音・振動実態監視結果（平成28年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000085601.html
平成27年度航空機騒音定期監視結果（平成28年6月15日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000083081.html
平成27年度自動車騒音調査結果（平成28年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000085653.html
平成27年度新幹線鉄道騒音・振動定期監視結果等について（平成28年2月12日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000079547.html
平成28年度航空機騒音定期監視結果（平成29年6月16日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000093893.html
平成28年度在来鉄道騒音・振動実態監視結果（平成29年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000096930.html
平成28年度自動車騒音調査結果（平成29年8月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000096977.html
平成28年度新幹線鉄道騒音・振動定期監視結果等について（平成29年2月6日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000090160.html
平成29・30年度自動車騒音調査結果（令和元年8月30日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000120147.html
平成29年度航空機騒音定期監視結果（平成30年6月15日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000106341.html
平成29年度自動車騒音調査結果（平成30年11月22日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000111712.html
平成29年度新幹線鉄道騒音・振動定期監視結果等について（平成30年2月5日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000102199.html
平成30年度航空機騒音定期監視結果（令和元年6月13日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000117767.html
平成30年度新幹線鉄道騒音・振動定期監視結果等について（平成31年2月4日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000113978.html
令和元年度新幹線鉄道騒音・振動定期監視結果等について（令和2年2月3日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000124902.html
名古屋市内における放射能測定結果について,xls、pdf,CC BY,環境局/地域環境対策部/大気環境対策課/大気騒音係,環境,,http://www.city.nagoya.jp/shisei/category/53-5-22-13-1-0-0-0-0-0.html
平成25年度公共用水域及び地下水の水質常時監視結果(平成26年6月16日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000077242.html
平成26年度公共用水域及び地下水の水質常時監視結果(平成27年6月16日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000077244.html
平成27年度公共用水域及び地下水の水質常時監視結果(平成28年6月15日公表),pdf,CC BY,環境局/地域環境対策部/地域環境対策課/水質地盤係,環境,,http://www.city.nagoya.jp/kankyo/page/0000083575.html
